question,answer,category,source
What is IPC Section 420?,IPC Section 420 deals with cheating and dishonestly inducing delivery of property. Whoever cheats and thereby dishonestly induces the person deceived to deliver any property to any person or to make alter or destroy the whole or any part of a valuable security shall be punished with imprisonment of either description for a term which may extend to seven years and shall also be liable to fine.,ipc,Indian Penal Code 1860
What is IPC Section 302?,IPC Section 302 prescribes punishment for murder. Whoever commits murder shall be punished with death or imprisonment for life and shall also be liable to fine.,ipc,Indian Penal Code 1860
What is IPC Section 376?,IPC Section 376 deals with punishment for rape. It prescribes rigorous imprisonment for a term not less than ten years which may extend to imprisonment for life and shall also be liable to fine.,ipc,Indian Penal Code 1860
What is IPC Section 498A?,IPC Section 498A deals with husband or relative of husband of a woman subjecting her to cruelty. Whoever being the husband or the relative of the husband of a woman subjects such woman to cruelty shall be punished with imprisonment for a term which may extend to three years and shall also be liable to fine.,ipc,Indian Penal Code 1860
What is IPC Section 406?,IPC Section 406 deals with criminal breach of trust. Whoever commits criminal breach of trust shall be punished with imprisonment of either description for a term which may extend to three years or with fine or with both.,ipc,Indian Penal Code 1860
What is IPC Section 304B?,IPC Section 304B deals with dowry death. Where the death of a woman is caused by any burns or bodily injury or occurs otherwise than under normal circumstances within seven years of her marriage and it is shown that soon before her death she was subjected to cruelty or harassment by her husband or any relative of her husband for or in connection with any demand for dowry such death shall be called dowry death.,ipc,Indian Penal Code 1860
What is IPC Section 354?,IPC Section 354 deals with assault or criminal force to woman with intent to outrage her modesty. Whoever assaults or uses criminal force to any woman intending to outrage or knowing it to be likely that he will thereby outrage her modesty shall be punished with imprisonment of either description for a term which shall not be less than one year but which may extend to five years and shall also be liable to fine.,ipc,Indian Penal Code 1860
What is IPC Section 379?,IPC Section 379 deals with punishment for theft. Whoever commits theft shall be punished with imprisonment of either description for a term which may extend to three years or with fine or with both.,ipc,Indian Penal Code 1860
What is IPC Section 323?,IPC Section 323 deals with punishment for voluntarily causing hurt. Whoever except in the case provided for by section 334 voluntarily causes hurt shall be punished with imprisonment of either description for a term which may extend to one year or with fine which may extend to one thousand rupees or with both.,ipc,Indian Penal Code 1860
What is IPC Section 506?,IPC Section 506 deals with punishment for criminal intimidation. Whoever commits the offence of criminal intimidation shall be punished with imprisonment of either description for a term which may extend to two years or with fine or with both.,ipc,Indian Penal Code 1860
What is IPC Section 307?,IPC Section 307 deals with attempt to murder. Whoever does any act with such intention or knowledge and under such circumstances that if he by that act caused death he would be guilty of murder shall be punished with imprisonment of either description for a term which may extend to ten years and shall also be liable to fine.,ipc,Indian Penal Code 1860
What is IPC Section 467?,IPC Section 467 deals with forgery of valuable security will etc. Whoever forges a document which purports to be a valuable security or a will or an authority to adopt a son or which purports to give authority to any person to make or transfer any valuable security shall be punished with imprisonment for life or with imprisonment of either description for a term which may extend to ten years and shall also be liable to fine.,ipc,Indian Penal Code 1860
What is IPC Section 468?,IPC Section 468 deals with forgery for purpose of cheating. Whoever commits forgery intending that the document or electronic record forged shall be used for the purpose of cheating shall be punished with imprisonment of either description for a term which may extend to seven years and shall also be liable to fine.,ipc,Indian Penal Code 1860
What is IPC Section 34?,IPC Section 34 deals with acts done by several persons in furtherance of common intention. When a criminal act is done by several persons in furtherance of the common intention of all each of such persons is liable for that act in the same manner as if it were done by him alone.,ipc,Indian Penal Code 1860
What is Article 14 of the Indian Constitution?,Article 14 guarantees equality before the law - The State shall not deny to any person equality before the law or the equal protection of the laws within the territory of India. It prohibits discrimination on the basis of religion race caste sex or place of birth.,constitution,Constitution of India
What is Article 19 of the Indian Constitution?,Article 19 protects six fundamental freedoms: (a) freedom of speech and expression (b) freedom to assemble peaceably and without arms (c) freedom to form associations or unions (d) freedom to move freely throughout the territory of India (e) freedom to reside and settle in any part of the territory of India (f) freedom to practise any profession or to carry on any occupation trade or business.,constitution,Constitution of India
What is Article 21 of the Indian Constitution?,Article 21 states that no person shall be deprived of his life or personal liberty except according to procedure established by law. This article has been given the widest possible interpretation by the Supreme Court of India to include the right to live with dignity right to livelihood right to health right to education right to shelter right to privacy and many other rights.,constitution,Constitution of India
What is Article 32 of the Indian Constitution?,Article 32 provides the right to constitutional remedies. It empowers citizens to move the Supreme Court for the enforcement of fundamental rights. Dr. B.R. Ambedkar called it the soul and heart of the Constitution. The Supreme Court can issue writs including habeas corpus mandamus prohibition certiorari and quo warranto.,constitution,Constitution of India
What is Article 226 of the Indian Constitution?,Article 226 empowers every High Court to issue writs including habeas corpus mandamus prohibition certiorari and quo warranto for the enforcement of fundamental rights and for any other purpose. The power of the High Court under Article 226 is wider than that of the Supreme Court under Article 32.,constitution,Constitution of India
What is Article 15 of the Indian Constitution?,Article 15 prohibits discrimination on grounds of religion race caste sex or place of birth. The State shall not discriminate against any citizen on these grounds. No citizen shall be subjected to any disability liability restriction or condition with regard to access to shops public restaurants hotels and places of public entertainment or the use of wells tanks bathing ghats roads and places of public resort.,constitution,Constitution of India
What is Article 370 of the Indian Constitution?,Article 370 was a temporary provision granting special autonomous status to Jammu and Kashmir. It was abrogated on August 5 2019 by a Presidential Order effectively revoking the special status of Jammu and Kashmir. The state was reorganized into two Union Territories: Jammu and Kashmir and Ladakh.,constitution,Constitution of India
What is Article 44 of the Indian Constitution?,Article 44 is a Directive Principle of State Policy that states the State shall endeavour to secure for the citizens a Uniform Civil Code throughout the territory of India. It aims to have one common law for all citizens regardless of their religion in matters of personal law such as marriage divorce inheritance and adoption.,constitution,Constitution of India
What are fundamental rights in India?,Fundamental Rights are enshrined in Part III of the Indian Constitution (Articles 12-35). There are six fundamental rights: (1) Right to Equality (Articles 14-18) (2) Right to Freedom (Articles 19-22) (3) Right against Exploitation (Articles 23-24) (4) Right to Freedom of Religion (Articles 25-28) (5) Cultural and Educational Rights (Articles 29-30) (6) Right to Constitutional Remedies (Article 32).,constitution,Constitution of India
What is a writ petition in India?,A writ petition is a formal written request to a court asking it to issue a writ or order. In India writ petitions can be filed under Article 32 (Supreme Court) or Article 226 (High Court). The five types of writs are: Habeas Corpus (produce the body) Mandamus (command to perform duty) Prohibition (prohibit lower court) Certiorari (quash order of lower court) and Quo Warranto (by what authority).,constitution,Constitution of India
What is Section 125 CrPC?,Section 125 of the Code of Criminal Procedure deals with maintenance of wives children and parents. If any person having sufficient means neglects or refuses to maintain his wife unable to maintain herself or his legitimate or illegitimate minor child or his father or mother unable to maintain themselves a Magistrate may order such person to pay a monthly allowance for their maintenance.,crpc,Code of Criminal Procedure 1973
What is Section 144 CrPC?,Section 144 CrPC empowers a District Magistrate Sub-Divisional Magistrate or any Executive Magistrate to issue an order in urgent cases of nuisance or apprehended danger. The order can direct any person to abstain from a certain act or to take certain order with respect to certain property. This section is commonly used to impose curfew or prohibit assembly of people.,crpc,Code of Criminal Procedure 1973
What is Section 154 CrPC?,Section 154 CrPC deals with the First Information Report (FIR). Every information relating to the commission of a cognizable offence if given orally to an officer in charge of a police station shall be reduced to writing by him or under his direction and the substance thereof shall be entered in a book. A copy of the FIR shall be given to the informant free of cost.,crpc,Code of Criminal Procedure 1973
What is Section 156(3) CrPC?,Section 156(3) CrPC empowers a Magistrate to order an investigation by the police. If the police refuse to register an FIR the aggrieved person can approach the Magistrate under this section who can then direct the police to investigate and register the FIR. This is an important remedy when police refuse to act.,crpc,Code of Criminal Procedure 1973
What is anticipatory bail?,Anticipatory bail is a direction to release a person on bail issued even before the person is arrested. It is granted under Section 438 of CrPC. A person who apprehends that he may be arrested on an accusation of having committed a non-bailable offence may apply to the High Court or the Court of Session for a direction that in the event of such arrest he shall be released on bail.,crpc,Code of Criminal Procedure 1973
What is bail in Indian law?,Bail is the release of a person from legal custody by providing surety for their appearance. In Indian law offences are categorized as bailable and non-bailable. In bailable offences bail is a matter of right under Section 436 CrPC. In non-bailable offences bail is at the discretion of the court under Section 437 CrPC.,crpc,Code of Criminal Procedure 1973
What is the Indian Contract Act?,The Indian Contract Act 1872 is the main law governing contracts in India. It defines and regulates contracts under Indian law. Key provisions include: offer and acceptance (Section 2) consideration (Section 2d) free consent (Section 14) void and voidable contracts (Sections 2g and 2i) performance of contracts (Section 37) and breach of contract remedies (Section 73).,contract_law,Indian Contract Act 1872
What is Section 27 of the Indian Contract Act?,Section 27 declares that every agreement by which anyone is restrained from exercising a lawful profession trade or business of any kind is to that extent void. This makes non-compete clauses in employment contracts largely unenforceable in India as they are considered agreements in restraint of trade.,contract_law,Indian Contract Act 1872
What is consideration in contract law?,Under Section 2(d) of the Indian Contract Act consideration is defined as when at the desire of the promisor the promisee or any other person has done or abstained from doing or does or abstains from doing or promises to do or to abstain from doing something such act or abstinence or promise is called a consideration for the promise. A contract without consideration is void under Section 25.,contract_law,Indian Contract Act 1872
What makes a contract void?,Under Indian Contract Act a contract is void if: (1) it involves unlawful consideration or object (Section 23) (2) it restrains trade (Section 27) (3) it restrains legal proceedings (Section 28) (4) the meaning is uncertain (Section 29) (5) it is a wagering agreement (Section 30) (6) it is entered by a minor or person of unsound mind (Section 11-12) (7) consent is obtained by coercion undue influence fraud or misrepresentation.,contract_law,Indian Contract Act 1872
What is breach of contract?,Breach of contract occurs when one party fails to fulfill their obligations under the contract. Under Section 73 of the Indian Contract Act the aggrieved party is entitled to receive compensation for any loss or damage caused by the breach. The compensation cannot exceed what the parties knew when they made the contract to be likely to result from the breach.,contract_law,Indian Contract Act 1872
What is the Consumer Protection Act 2019?,The Consumer Protection Act 2019 replaced the earlier 1986 Act and provides enhanced protection to consumers. Key features include: establishment of Central Consumer Protection Authority (CCPA) provisions for product liability mediation as alternate dispute resolution mechanism provisions for e-commerce consumers and penalties for misleading advertisements.,consumer_law,Consumer Protection Act 2019
How to file a consumer complaint?,To file a consumer complaint: (1) Write a complaint with details of the product/service defects amount claimed and documents (2) File at the appropriate forum based on the value of goods: District Commission for claims up to Rs 1 crore State Commission for Rs 1-10 crore National Commission for above Rs 10 crore (3) You can also file online at edaakhil.nic.in. No advocate is mandatory.,consumer_law,Consumer Protection Act 2019
What is product liability?,Under the Consumer Protection Act 2019 product liability means the responsibility of a product manufacturer product seller or product service provider to compensate for any harm caused to a consumer by a defective product or deficiency in services. A product liability action can be brought by a complainant against a product manufacturer product seller or product service provider.,consumer_law,Consumer Protection Act 2019
What are unfair trade practices?,Unfair trade practices under the Consumer Protection Act include: false representation about quality standard grade composition style or model of goods misleading advertisements selling goods not conforming to product safety standards manufacturing spurious goods and not issuing bills or receipts for goods sold or services rendered.,consumer_law,Consumer Protection Act 2019
What is the Rent Control Act?,Rent Control Acts are state-level laws in India that regulate the relationship between landlords and tenants. Key provisions include: fixing fair rent preventing unreasonable eviction of tenants regulating rent increases providing for maintenance and repairs and establishing rent courts for dispute resolution. Each state has its own rent control legislation.,tenant_law,State Rent Control Acts
What are tenant rights in India?,Tenants in India have the following rights: (1) Right to fair rent as determined by rent control authorities (2) Right against illegal eviction without proper notice and due process (3) Right to essential services like water electricity etc. (4) Right to have the property maintained in habitable condition (5) Right to have security deposit returned after deducting legitimate expenses (6) Right to privacy with proper notice before landlord entry.,tenant_law,State Rent Control Acts
Can a landlord increase rent arbitrarily?,No a landlord cannot increase rent arbitrarily. Under most state rent control acts: rent can only be increased at the rate specified in the rental agreement. In rent-controlled areas increases are capped by law usually 5-10% per year. The landlord must give proper written notice (usually 30-90 days) before any increase. If the increase is unreasonable tenants can approach the Rent Controller.,tenant_law,State Rent Control Acts
What is the 11-month rental agreement trap?,The 11-month rental agreement is a common legal tactic used by landlords in India. Under the Registration Act 1908 any lease agreement for more than 1 year must be registered with the Sub-Registrar and attracts stamp duty. To avoid this cost and legal obligations landlords create Leave and License agreements for exactly 11 months. This effectively strips tenants of protections offered by Rent Control Acts since these acts typically apply only to registered leases.,tenant_law,Registration Act 1908
What is wrongful termination?,Wrongful termination refers to an employee being fired in violation of legal provisions or the terms of their employment contract. An employee can be wrongfully terminated if: they are fired without proper notice as per the contract they are terminated for discriminatory reasons (caste religion gender etc.) they are fired in retaliation for filing complaints or the termination violates labor law provisions.,employment_law,Industrial Disputes Act 1947
